ID,slug,name,short_description,long_description,seo_description,base_spirit,category_primary,categories_all,tags,image_url,image_alt,glassware,garnish,technique,difficulty,flavor_strength,flavor_sweetness,flavor_tartness,flavor_bitterness,flavor_aroma,flavor_texture,notes,fun_fact,fun_fact_source,metadata_json,ingredients,instructions,,,,
mw_pearl_harbor_001,pearl-harbor,Pearl Harbor,"A tropical 80s icon combining vodka, melon liqueur, and pineapple juice.","The Pearl Harbor is a visual hallmark of the 1980s, layering neutral vodka with the electric green of Midori and the yellow of pineapple juice. Its flavor is unapologetically sweet and confectionary, dominated by musk melon and tropical fruit. It represents a specific era of cocktail history where color and approachability took precedence over complexity. The drink is usually built over ice to maintain a casual, vacation-ready vibe.","Build a Pearl Harbor with vodka, Midori, and pineapple juice.",Vodka,Highball,classic|highball|tropical|disco-era,vodka|midori|pineapple|melon|sweet,,A Pearl Harbor in a highball glass with green liquid and a pineapple wedge.,Highball glass,pineapple wedge|cherry,Build,Easy,3,7,4,1,6,5,Do not stir too vigorously or the distinctive green color will look muddy.,"The drink's name is a grim historical reference common in mid-century cocktail culture, similar to the Kamikaze and B-52, reflecting a dark humor in naming conventions.",Midori brand history; PunchDrink,{},2 oz vodka|1 oz Midori melon liqueur|4 oz pineapple juice,1. Fill a highball glass with ice. 2. Add vodka and Midori. 3. Top with pineapple juice. 4. Stir gently to integrate. 5. Garnish with a pineapple wedge and cherry.,,,,
mw_melon_ball_001,melon-ball,Melon Ball,A bright orange-and-melon highball with a glowing green hue.,"The Melon Ball differs from the Pearl Harbor by swapping pineapple for orange juice, creating a warmer, citrus-driven profile that plays against the sweet melon liqueur. The acidity of the orange juice provides better balance to the sugar than pineapple, making it a slightly more structured drink. Visually, it often features a gradient from the heavy green liqueur to the yellow-orange juice. It remains one of the most popular ways to mix Midori.","Make a Melon Ball with vodka, Midori, and orange juice.",Vodka,Highball,classic|highball|fruit|disco-era,vodka|midori|orange|party,,A Melon Ball in a highball glass with a melon ball garnish.,Highball glass,melon ball,Build,Easy,3,6,5,1,6,5,Using fresh orange juice transforms this from a candy-like drink to a legitimate fruit cooler.,"The drink was heavily marketed in the late 1970s following the US launch of Midori at Studio 54, cementing its status as a disco staple.",Studio 54 archives; Imbibe,{},1 oz vodka|2 oz Midori melon liqueur|4 oz fresh orange juice,1. Fill a highball glass with ice. 2. Add vodka and Midori. 3. Top with orange juice. 4. Stir to combine. 5. Garnish with a skewered melon ball.,,,,
mw_gypsy_queen_001,gypsy-queen,Gypsy Queen,"A warm, herbal dinner drink of vodka and Bénédictine.","The Gypsy Queen is a simple yet potent duo that relies on the herbal complexity of Bénédictine. The vodka lightens the liqueur's texture without diluting its flavor, while dashes of Angostura bitters bridge the gap between the spirit and the sweetener. It is a sipping cocktail that functions similarly to a Rusty Nail but with a more floral, honeyed profile. Served up, it is a sophisticated throwback to the Savoy era of two-ingredient cocktails.",Stir a Gypsy Queen with vodka and Bénédictine for a herbal sipper.,Vodka,Spirit-Forward,classic|spirit-forward|herbal|savoy,vodka|benedictine|bitters|herbal|dinner,,A Gypsy Queen in a chilled coupe with a lemon twist.,Coupe,lemon twist,Stir,Easy,7,5,1,3,8,7,Express the lemon twist over the drink to cut the honeyed sweetness of the Bénédictine.,"This recipe appears in the 1930 *Savoy Cocktail Book* as a 'Russian' drink, utilizing the vodka-plus-liqueur template popular in European grand hotels.",Savoy Cocktail Book,{},2 oz vodka|1 oz Bénédictine|2 dashes Angostura bitters,"1. Add vodka, Bénédictine, and bitters to a mixing glass with ice. 2. Stir until well chilled. 3. Strain into a chilled coupe. 4. Garnish with a lemon twist.",,,,
mw_slow_comfortable_screw_001,slow-comfortable-screw,Slow Comfortable Screw,"A complex highball layering vodka, sloe gin, Southern Comfort, and orange juice.","The Slow Comfortable Screw expands the standard Screwdriver by adding the herbal-berry notes of sloe gin and the fruit-spice of Southern Comfort. This pile-up of ingredients creates a dense, murky, fruit-punch profile that masks the alcohol almost entirely. It is a landmark of the 'sexual innuendo' era of bartending, where long names and sweet profiles drove sales. Despite the name, the blend of stone fruit and citrus is genuinely cohesive.","Build a Slow Comfortable Screw with vodka, sloe gin, Southern Comfort, and orange juice.",Vodka,Highball,classic|highball|fruit|party,vodka|sloe-gin|southern-comfort|orange|sweet,,A Slow Comfortable Screw in a tall glass over ice.,Highball glass,orange slice,Build,Easy,4,7,4,1,6,5,Float the sloe gin on top for a 'sunset' visual effect before stirring.,"The drink evolved as a word-game, adding 'Slow' (Sloe Gin) and 'Comfortable' (Southern Comfort) to the existing 'Screw' (Screwdriver).",Bartender's Guide to the 80s; PunchDrink,{},1 oz vodka|1 oz sloe gin|1 oz Southern Comfort|4 oz fresh orange juice,"1. Fill a highball glass with ice. 2. Add vodka, Southern Comfort, and orange juice. 3. Stir to mix. 4. Float sloe gin on top. 5. Garnish with an orange slice.",,,,
mw_volga_boatman_001,volga-boatman,Volga Boatman,"A tart, cherry-forward sour with a vodka base.","The Volga Boatman pairs vodka with cherry brandy and orange juice, creating a drink that sits between a sour and a fruit cocktail. The neutral spirit amplifies the cherry liqueur's pit-fruit aromatics, while the orange juice provides a rounder acidity than lemon or lime. It has a deep red hue and a velvety mouthfeel. This is a rare classic that treats cherry brandy as a primary modifier rather than a background accent.","Shake a Volga Boatman with vodka, cherry brandy, and orange juice.",Vodka,Sour,classic|sour|fruit|savoy,vodka|cherry-brandy|orange|savoy,,A Volga Boatman in a coupe with a deep red color.,Coupe,orange peel,Shake,Moderate,5,5,5,1,7,6,Use a quality cherry liqueur like Heering rather than clear kirsch for the correct body and color.,"Named after the famous Russian folk song, the drink was popularized in London's high-end bars during the 1930s fascination with Soviet aesthetics.",Savoy Cocktail Book,{},1.5 oz vodka|1.5 oz cherry brandy|1 oz fresh orange juice,"1. Add vodka, cherry brandy, and orange juice to a shaker with ice. 2. Shake well to chill. 3. Strain into a chilled coupe. 4. Garnish with an orange peel.",,,,
mw_screaming_orgasm_001,screaming-orgasm,Screaming Orgasm,"A rich, creamy quartet of vodka, coffee liqueur, amaretto, and Irish cream.","The Screaming Orgasm is the ultimate example of the 1980s 'dessert in a glass' style, blending four distinct spirits with no non-alcoholic mixer. The vodka cuts the viscosity of the three liqueurs, while the amaretto and Irish cream provide a nutty, lacto-sweet profile. It is incredibly rich, sweet, and potent, often served on the rocks as a slow sipper. It bridges the gap between the White Russian and the Mudslide.","Shake a Screaming Orgasm with vodka, Kahlúa, amaretto, and Bailey's.",Vodka,Dessert,classic|dessert|creamy|party,vodka|coffee-liqueur|amaretto|irish-cream,,A Screaming Orgasm in a rocks glass over ice.,Old-fashioned glass,cherry,Shake,Easy,6,8,1,1,7,8,Shake vigorously to ensure the heavy liqueurs integrate and dilute properly.,"The drink originated as simply the 'Orgasm,' but the addition of vodka (making it stronger/louder) earned it the 'Screaming' prefix in 1980s chain bars.",Cocktail history archives; Difford's Guide,{},1 oz vodka|1 oz coffee liqueur|1 oz amaretto|1 oz Irish cream,1. Add all ingredients to a shaker with ice. 2. Shake vigorously. 3. Strain into a rocks glass filled with fresh ice. 4. Garnish with a cherry.,,,,
mw_flying_kangaroo_001,flying-kangaroo,Flying Kangaroo,"A complex tropical blend of vodka, rum, Galliano, and coconut.","The Flying Kangaroo is a sophisticated tiki-disco hybrid that splits the base between vodka and rum, then modifies with Galliano's herbal vanilla notes. Pineapple, orange, and coconut cream create a Colada-like texture, but the Galliano and vodka give it a lighter, more botanical finish than a standard Piña Colada. It is a rare example of a modern German classic that gained global recognition. The drink is blended or shaken hard to achieve a frothy, milkshake consistency.","Blend a Flying Kangaroo with vodka, rum, Galliano, and tropical juices.",Vodka,Tiki,modern-classic|tiki|tropical|creamy,vodka|rum|galliano|coconut|pineapple,,A Flying Kangaroo in a hurricane glass with pineapple garnish.,Hurricane glass,pineapple wedge,Shake,Moderate,5,6,5,1,8,8,Fresh orange juice is critical to cutting the heaviness of the coconut cream.,"Created by Charles Schumann at Schumann's Bar in Munich in 1979, this drink illustrates the European influence on tropical cocktail evolution.","Charles Schumann, American Bar; PunchDrink",{},1 oz vodka|1 oz white rum|0.5 oz Galliano L'Autentico|1 oz coconut cream|1 oz pineapple juice|1 oz fresh orange juice,1. Add all ingredients to a shaker with crushed ice (or blend for a smoother texture). 2. Shake vigorously. 3. Pour unstrained into a hurricane glass. 4. Garnish with a pineapple wedge.,,,,
mw_bloody_caesar_001,bloody-caesar,Bloody Caesar,A savory Canadian highball featuring vodka and clam-tomato juice.,"The Bloody Caesar (or simply Caesar) is the Canadian evolution of the Bloody Mary, distinguished by the use of Clamato (clam and tomato juice blend) instead of plain tomato juice. This substitution creates a lighter, brinier, and more savory profile that pairs exceptionally well with the vodka base. It is traditionally seasoned with Worcestershire sauce and hot sauce, but the defining feature is the celery salt rim, which is considered mandatory. It stands as Canada's national cocktail, often garnished more lavishly than its American cousin.","Make a Bloody Caesar with vodka, Clamato juice, and a celery salt rim.",Vodka,Highball,classic|highball|savory|canadian,vodka|clamato|savory|spicy|brunch,,A Bloody Caesar in a highball glass with a celery salt rim and celery stalk.,Highball glass,celery stalk|lime wedge,Build,Easy,5,2,4,2,7,5,"Clamato juice is essential; replacing it with tomato juice makes a Bloody Mary, not a Caesar.","Invented by Walter Chell in Calgary in 1969 to celebrate the opening of a new Italian restaurant, the drink was inspired by the flavors of Spaghetti Vongole (clams and tomato sauce).",Calgary Herald archives; CBC,{},2 oz vodka|4 oz Clamato juice|0.5 oz fresh lime juice|2 dashes Worcestershire sauce|2 dashes Tabasco sauce|Celery salt for rim,"1. Rim a highball glass with celery salt. 2. Fill the glass with ice. 3. Add vodka, lime juice, Worcestershire, and Tabasco. 4. Top with Clamato juice. 5. Stir well. 6. Garnish with a celery stalk and lime wedge.",,,,
mw_orange_crush_001,orange-crush,Orange Crush,"A fresh, crushed-ice highball using orange vodka and freshly squeezed juice.","The Orange Crush is a Mid-Atlantic regional classic defined by the use of orange-flavored vodka and the immediate freshness of pressed orange juice. Unlike the Screwdriver, which is often static and heavy, the Crush is served over crushed ice and topped with lemon-lime soda, making it aerated, effervescent, and incredibly crushable. It relies on the specific synergy between the flavored spirit and the fresh citrus oils to create a drink that tastes like a peaked-summer soda.","Build an Orange Crush with orange vodka, triple sec, and fresh orange juice.",Vodka,Highball,modern-classic|highball|citrus|regional,orange-vodka|triple-sec|orange-juice|summer|crushed-ice,,A bright orange Orange Crush in a pint glass packed with crushed ice.,Highball glass,orange wheel,Build,Easy,4,6,5,1,8,4,You must use fresh-squeezed orange juice and crushed ice; bottled juice or cubed ice flattens the texture and flavor profile.,"The drink became a phenomenon in Ocean City, Maryland, in the mid-1990s, where bars famously installed industrial juicers to keep up with demand.",Baltimore Sun; PunchDrink,{},2 oz orange vodka|0.5 oz triple sec|2 oz fresh orange juice|Lemon-lime soda to top,"1. Fill a pint or highball glass with crushed ice. 2. Add orange vodka, triple sec, and fresh orange juice. 3. Top with lemon-lime soda. 4. Stir gently to mix. 5. Garnish with an orange wheel.",,,,
mw_lychee_martini_001,lychee-martini,Lychee Martini,"A floral, fruit-forward martini defining the early 2000s cocktail boom.","The Lychee Martini pairs vodka with the distinct, perfumed sweetness of lychee liqueur and fruit syrup. It captures the exotic fruit trend of the millennium era, offering a profile that is intensely floral and sweet-tart without being cloying. The vodka serves as a neutral delivery system for the delicate rose-water notes of the lychee. Served up with the fruit as a garnish, it remains a staple of fusion cuisine and modern lounges.","Shake a Lychee Martini with vodka, lychee liqueur, and lychee juice.",Vodka,Sour,modern-classic|sour|fruit|floral,vodka|lychee|sweet|party|2000s,,A Lychee Martini in a cocktail glass with a whole lychee garnish.,Cocktail glass,whole lychee fruit,Shake,Easy,4,7,4,1,9,6,Adding a splash of fresh lime juice can help cut the syrup's sweetness if the liqueur is heavy.,"The Lychee Martini became the signature drink of the New York restaurant Tao in the early 2000s, symbolizing the era's 'Pan-Asian' dining trend.",New York Magazine archives; PunchDrink,{},2 oz vodka|1 oz lychee liqueur|0.5 oz lychee syrup (from the can),"1. Add vodka, lychee liqueur, and syrup to a shaker with ice. 2. Shake vigorously to chill. 3. Strain into a chilled cocktail glass. 4. Garnish with a whole lychee fruit.",,,,
mw_chocolate_martini_001,chocolate-martini,Chocolate Martini,A decadent 90s dessert cocktail mixing vodka and chocolate liqueur.,"The Chocolate Martini is the quintessential dessert cocktail of the 1990s, blending vodka with crème de cacao or chocolate liqueur. It strips away the cream found in the Brandy Alexander (though some variations add it back) to create a sleeker, stronger drink that presents as a 'Martini' in name and vessel. The vodka cuts the viscosity of the liqueur, preventing it from being too thick while delivering a potent alcoholic kick. It is a straight-up indulgence.",Shake a Chocolate Martini with vodka and crème de cacao.,Vodka,Dessert,modern-classic|dessert|chocolate|90s,vodka|chocolate|sweet|after-dinner,,A Chocolate Martini in a cocktail glass with a chocolate syrup swirl.,Cocktail glass,chocolate shaving|strawberry,Shake,Easy,5,8,1,2,7,6,"For a creamier version, add 0.5 oz of Irish cream or half-and-half; the classic clear version uses only liqueurs.","While chocolate drinks existed earlier, the 'Chocolate Martini' exploded in the 1990s alongside the Espresso Martini as part of the 'Neo-Martini' craze.",Difford's Guide; 90s cocktail menus,{},2 oz vodka|1.5 oz crème de cacao (white or dark)|0.25 oz chocolate liqueur,1. Rim or swirl the glass with chocolate syrup if desired. 2. Add vodka and liqueurs to a shaker with ice. 3. Shake well. 4. Strain into the prepared glass.,,,,
mw_szarlotka_001,szarlotka,Szarlotka (Bison Grass & Apple),A legendary Polish highball tasting of spiced apple pie.,"The Szarlotka (or Tatanka) is a two-ingredient classic that relies on the unique flavor of Żubrówka (Bison Grass Vodka). The vodka's distinct notes of vanilla, almond, and fresh-cut hay interact with unfiltered apple juice to recreate the flavor profile of a Polish apple cake ('szarlotka'). It is a rare example of a highball where the spirit transforms the mixer entirely without the need for spices or syrups. It is earthy, sweet, and comforting.",Build a Szarlotka with Bison Grass vodka and unfiltered apple juice.,Vodka,Highball,classic|highball|fruit|polish,bison-grass-vodka|apple|cinnamon|polish,,A Szarlotka in a highball glass with a cinnamon stick.,Highball glass,apple slice|cinnamon stick,Build,Easy,4,5,4,1,8,5,Unfiltered or cloudy apple juice is mandatory for the correct texture and flavor depth; clear juice makes the drink too thin.,"The drink is named after the traditional Polish apple crumble cake, as the combination of bison grass and apple perfectly mimics the pastry's flavor.",Polish culinary history; Imbibe,{},2 oz Bison Grass Vodka (Żubrówka)|4 oz unfiltered apple juice|Pinch of cinnamon (optional),1. Fill a highball glass with ice. 2. Add vodka and apple juice. 3. Stir to combine. 4. Garnish with an apple slice and a dusting of cinnamon.,,,,
mw_saketini_001,saketini,Saketini,"A delicate, fusion-era martini blending vodka and sake.","The Saketini modifies the classic Vodka Martini template by replacing the dry vermouth with sake (Japanese rice wine). This substitution lowers the acidity and herbal character, introducing a softer, grain-forward profile with subtle umami and melon notes. It creates a texture that is silkier and less sharp than a vermouth-based drink. Often garnished with cucumber to highlight the sake's fresh qualities, it was a defining drink of 1990s fusion cuisine.",Stir a Saketini with vodka and premium sake.,Vodka,Spirit-Forward,modern-classic|spirit-forward|fusion|martini-family,vodka|sake|cucumber|90s,,A clear Saketini in a cocktail glass with a cucumber slice.,Cocktail glass,cucumber slice,Stir,Easy,8,2,1,1,6,8,Use a Junmai or Ginjo sake for enough body to stand up to the vodka; lighter sakes may disappear.,The drink was popularized during the 1964 New York World's Fair but became a global staple during the sushi-restaurant boom of the 1990s.,New York World's Fair archives; PunchDrink,{},2 oz vodka|1 oz sake|Cucumber slice,1. Add vodka and sake to a mixing glass with ice. 2. Stir gently until chilled. 3. Strain into a chilled cocktail glass. 4. Garnish with a cucumber slice.,,,,
mw_hairy_navel_001,hairy-navel,Hairy Navel,"A punchy 80s highball mixing vodka, peach schnapps, and orange juice.","The Hairy Navel is the stronger sibling of the Fuzzy Navel, adding a measure of vodka to the peach schnapps and orange juice base. The 'hair' refers to the added strength of the spirit, which cuts the syrupy sweetness of the schnapps and adds body to the juice. It is a simple, fruit-forward highball that balances the stone fruit aromatics of the 80s with the structure of a Screwdriver. It represents the era's love for cheeky names and accessible flavors.","Build a Hairy Navel with vodka, peach schnapps, and orange juice.",Vodka,Highball,classic|highball|fruit|disco-era,vodka|peach|orange|sweet|party,,A Hairy Navel in a highball glass with an orange slice.,Highball glass,orange slice,Build,Easy,4,6,4,1,7,5,Use fresh orange juice to keep the drink refreshing rather than cloying.,The drink evolved as bartenders sought to boost the ABV of the incredibly popular Fuzzy Navel without altering its peach-forward flavor profile.,Bartender's Guide to the 80s; Difford's Guide,{},1 oz vodka|1 oz peach schnapps|4 oz fresh orange juice,1. Fill a highball glass with ice. 2. Add vodka and peach schnapps. 3. Top with orange juice. 4. Stir to combine. 5. Garnish with an orange slice.,,,,
mw_key_lime_martini_001,key-lime-martini,Key Lime Martini,A dessert-style sour using vanilla vodka to mimic pie crust.,"The Key Lime Martini is a modern dessert cocktail that leverages vanilla-flavored vodka to simulate the flavor of a pie crust against the tartness of lime juice. Often enriched with a touch of cream or coconut, it balances sharp citrus acidity with confectionary sweetness. Unlike a standard Gimlet, it aims for a creamy, pastry-like profile. It demonstrates how flavored vodkas can be used as structural ingredients to evoke specific culinary dishes.","Shake a Key Lime Martini with vanilla vodka, lime, and cream.",Vodka,Dessert,modern-classic|dessert|citrus|pie,vanilla-vodka|lime|cream|sweet,,A Key Lime Martini in a coupe with a graham cracker rim.,Coupe,lime wheel|graham cracker rim,Shake,Moderate,4,6,5,1,7,8,Rim the glass with crushed graham crackers to complete the pie effect.,Vanilla vodka became a bartending staple in the early 2000s specifically to enable 'pastry' style cocktails like this and the Cake Batter Martini.,Modern cocktail archives; Imbibe,{},2 oz vanilla vodka|1 oz fresh lime juice|0.5 oz simple syrup|0.5 oz heavy cream or coconut cream,"1. Rim a chilled coupe with lime juice and crushed graham crackers. 2. Add vanilla vodka, lime juice, syrup, and cream to a shaker with ice. 3. Shake vigorously. 4. Strain into the prepared glass. 5. Garnish with a lime wheel.",,,,
mw_godchild_001,godchild,Godchild,"A creamy, almond-forward dessert drink completing the 'God' trilogy.","The Godchild is the dessert variation of the Godmother, adding heavy cream to the base of vodka and amaretto. The cream softens the almond liqueur's sugar and the vodka's bite, creating a texture similar to a melted milkshake. It is lighter than a White Russian (lacking the coffee roast) but richer than the standard two-ingredient digestifs. It serves as a comforting, velvety nightcap that highlights the marzipan notes of the amaretto.","Shake a Godchild with vodka, amaretto, and cream.",Vodka,Dessert,classic|dessert|creamy|almond,vodka|amaretto|cream|after-dinner,,A Godchild in a rocks glass dusted with nutmeg.,Old-fashioned glass,nutmeg,Shake,Easy,4,7,1,1,7,8,Shake well to aerate the cream; this drink can also be served up in a coupe for a more elegant presentation.,"The name continues the lineage of the Godfather (Scotch/Amaretto) and Godmother (Vodka/Amaretto), emerging in the 1970s cream-cocktail boom.",Difford's Guide; 70s bar manuals,{},1 oz vodka|1 oz amaretto|1 oz heavy cream,"1. Add vodka, amaretto, and cream to a shaker with ice. 2. Shake vigorously. 3. Strain into a rocks glass filled with fresh ice. 4. Garnish with a dusting of nutmeg.",,,,
mw_vodka_sunrise_001,vodka-sunrise,Vodka Sunrise,"A visual classic layering vodka, orange juice, and sinking grenadine.","The Vodka Sunrise is the vodka-based riff on the famous Tequila Sunrise, retaining the iconic visual gradient of the 'sunrise' effect. The neutral spirit steps back to allow the orange juice and pomegranate grenadine to dominate the palate. It is a sweet, fruit-forward highball defined entirely by its presentation. While less complex than the tequila original, it remains a staple of resort bars for its look and drinkability.","Build a Vodka Sunrise with vodka, orange juice, and a grenadine float.",Vodka,Highball,classic|highball|visual|fruit,vodka|orange|grenadine|sweet,,A Vodka Sunrise in a highball glass showing red-to-orange gradient.,Highball glass,orange slice|cherry,Build,Easy,3,7,3,1,5,5,Pour the grenadine swiftly down the side of the glass or over a spoon to ensure it sinks to the bottom to create the gradient.,"While the Tequila Sunrise is the 70s icon (thanks to the Rolling Stones), the vodka variation appeared almost simultaneously on menus catering to the rising vodka market.",Rolling Stone Magazine; 70s pop culture history,{},2 oz vodka|4 oz fresh orange juice|0.5 oz grenadine,1. Fill a highball glass with ice. 2. Add vodka and orange juice. 3. Pour grenadine continuously into the center of the drink; it will sink and then slowly rise. 4. Do not stir before serving. 5. Garnish with an orange slice and cherry.,,,,
mw_pina_colada_001,pina-colada,Piña Colada,"A lush, blended tropical classic of rum, coconut cream, and pineapple juice.","The Piña Colada blends white rum, rich coconut cream, and pineapple juice into a velvety, decadent freeze. Unlike lighter tiki drinks, it relies on the density of the coconut to create a milkshake-like texture that coats the palate. It is the defining cocktail of Puerto Rico, balancing the natural acidity of pineapple with sweet, fatty creaminess. When made with quality ingredients rather than pre-mixes, it is elegant and deeply refreshing.",Make a classic Piña Colada with rum,coconut cream,and pineapple for the ultimate tropical treat.,Rum,Tiki,classic|tiki|tropical|blended,rum|coconut|pineapple|frozen|vacation,,A Piña Colada in a hurricane glass with a pineapple wedge and cherry.,Hurricane glass,pineapple wedge|cherry,Blend,Easy,4,7,4,1,6,8,"Use Cream of Coconut (like Coco Lopez), not coconut milk, for the correct texture and sweetness.","The drink was declared the official beverage of Puerto Rico in 1978, though its exact creation at the Caribe Hilton or Barrachina restaurant remains a point of local debate.",Puerto Rico official archives; Imbibe,{},2 oz white rum|3 oz pineapple juice|1 oz cream of coconut|0.5 oz fresh lime juice,"1. Add rum, pineapple juice, cream of coconut, lime juice, and 1 cup of crushed ice to a blender. 2. Blend on high until smooth and creamy. 3. Pour into a hurricane glass. 4. Garnish with a pineapple wedge and cherry.",,
mw_dark_n_stormy_001,dark-n-stormy,Dark 'n' Stormy,"A spicy, two-layered highball of dark rum and ginger beer.","The Dark 'n' Stormy pairs rich, molasses-heavy dark rum with spicy ginger beer and a squeeze of lime. The drink is defined by its visual presentation, with the dark rum floated on top of the lighter ginger beer to resemble storm clouds. It drinks brisk and effervescent, with the rum's caramel notes tempering the ginger's heat. It is the unofficial drink of Bermuda and a trademark of the Gosling's brand.",Build a Dark 'n' Stormy with dark rum and ginger beer for a spicy highball.,Rum,Highball,classic|highball|spicy|visual,dark-rum|ginger-beer|lime|bermuda|spicy,,A Dark 'n' Stormy in a highball glass with dark rum floating over ginger beer.,Highball glass,lime wedge,Build,Easy,5,4,4,2,6,4,The rum must be floated last to achieve the signature look; stir gently before sipping.,"Legally, a 'Dark 'n Stormy' must be made with Gosling’s Black Seal Rum and ginger beer, one of the few trademark-protected cocktail recipes in the world.",US Patent and Trademark Office; PunchDrink,{},2 oz dark rum (Gosling's Black Seal)|4 oz ginger beer|0.5 oz fresh lime juice,1. Fill a highball glass with ice. 2. Add ginger beer and lime juice. 3. Float the dark rum on top using the back of a spoon. 4. Garnish with a lime wedge.,,,,
mw_cuba_libre_001,cuba-libre,Cuba Libre,A historic highball elevating rum and cola with fresh lime juice.,"The Cuba Libre transforms the standard Rum and Coke into a cocktail through the addition of fresh lime juice and the use of the spent lime shell. The citrus acid cuts the cola's sugar, while the rum adds structural warmth. Originating around the time of the Spanish-American War, it symbolizes the meeting of American soda and Cuban spirit. Built tall over ice, it is caffeinated, crisp, and deceptively balanced.",Make a proper Cuba Libre with rum,cola,and fresh lime juice.,Rum,Highball,classic|highball|cuban|refreshing,rum|cola|lime|cuban|easy,,A Cuba Libre in a highball glass with a lime half-shell.,Highball glass,lime wedge,Build,Easy,4,6,4,1,5,4,Muddle the lime wedge slightly in the glass before adding ice to release the oils.,"The toast 'Por Cuba Libre!' (To a Free Cuba) gave the drink its name in Havana circa 1900, celebrating independence alongside the arrival of Coca-Cola in Cuba.","Havana cocktail history; Wondrich, Imbibe!",{},2 oz white or gold rum|0.5 oz fresh lime juice|4 oz cola,1. Squeeze the lime juice into a highball glass and drop in the shell. 2. Fill the glass with ice. 3. Add rum and top with cola. 4. Stir gently to combine.,,
mw_mary_pickford_001,mary-pickford,Mary Pickford,"A pink, fruity Prohibition classic blending rum, pineapple, and grenadine.","The Mary Pickford mixes white rum with pineapple juice, grenadine, and a touch of maraschino liqueur for a soft, sweet-tart profile. The drink's texture is frothy and delicate when shaken properly, with the maraschino providing a dry, nutty finish that grounds the fruit sugars. Created in Havana during Prohibition, it represents the glamour of American tourism in Cuba. It is sweeter than a Daiquiri but more complex than a simple punch.",Shake a Mary Pickford with rum,pineapple,and grenadine for a 1920s classic.,Rum,Sour,classic|sour|fruit|prohibition,rum|pineapple|grenadine|maraschino|cuban,,A Mary Pickford in a coupe with a pale pink hue and cherry garnish.,Coupe,brandied cherry,Shake,Moderate,5,5,5,1,6,6,Use fresh pineapple juice to ensure a frothy head; canned juice often yields a flat texture.,"Bartender Eddie Woelke created the drink at the Hotel Nacional de Cuba for Mary Pickford, the silent film star, while she was filming in Havana in the 1920s.",Hotel Nacional archives; Imbibe,{},2 oz white rum|1.5 oz fresh pineapple juice|0.25 oz grenadine|0.25 oz maraschino liqueur,"1. Add rum, pineapple juice, grenadine, and maraschino to a shaker with ice. 2. Shake vigorously until frothy and cold. 3. Strain into a chilled coupe. 4. Garnish with a brandied cherry.",,
mw_hotel_nacional_001,hotel-nacional-special,Hotel Nacional Special,A sophisticated Cuban sour with apricot brandy and pineapple.,"The Hotel Nacional Special improves upon the Daiquiri template by adding apricot brandy and pineapple juice to the rum and lime base. The apricot liqueur adds a stone-fruit depth that pairs elegantly with the tropical pineapple, while the lime keeps the finish dry. It is shaken until an aggressive foam forms, creating a silky mouthfeel. This drink defines the 'Golden Age' of Cuban cantineros.",Shake a Hotel Nacional Special with rum,apricot brandy,and pineapple.,Rum,Sour,classic|sour|cuban|tiki-adjacent,rum|apricot|pineapple|lime|cuban,,A Hotel Nacional Special in a coupe with a thick foam head and lime wheel.,Coupe,lime wheel|pineapple wedge,Shake,Moderate,6,4,6,1,7,6,"Double strain to remove ice chips, but ensure the foam passes through the strainer.","The drink was the house special at Havana's Hotel Nacional, famously served to guests like Winston Churchill and Frank Sinatra during the mid-20th century.",Hotel Nacional archives; Beachbum Berry,{},1.5 oz white rum|0.5 oz apricot brandy|1 oz fresh pineapple juice|0.5 oz fresh lime juice|0.25 oz simple syrup,1. Add all ingredients to a shaker with ice. 2. Shake vigorously to generate foam. 3. Strain into a chilled coupe. 4. Garnish with a lime wheel or pineapple wedge.,,
mw_corn_n_oil_001,corn-n-oil,Corn 'n' Oil,A rich Bajan sipper of blackstrap rum and herbal falernum.,"The Corn 'n' Oil pairs the intense molasses flavor of blackstrap rum with the clove and lime notes of velvet falernum. The name refers to the texture and visual layering, where the dark rum floats like an oil slick over the lighter liqueur and melting ice. It is a slow-sipping, robust cocktail that highlights the unique spiced character of Barbados ingredients. Bitters and lime cut through the sugar to maintain balance.",Stir a Corn 'n' Oil with blackstrap rum and falernum for a spicy Barbados classic.,Rum,Old-Fashioned,classic|spirit-forward|spiced|caribbean,blackstrap-rum|falernum|lime|barbados|sipper,,A Corn 'n' Oil in a rocks glass with a dark rum float and lime wedge.,Old-fashioned glass,lime wedge,Build,Easy,8,5,3,3,8,7,Allow the ice to melt slightly before drinking to open up the dense blackstrap rum.,"While 'Corn' refers to the falernum's texture (or possibly a biblical reference to abundance), the 'Oil' is undoubtedly the thick Cruzan Black Strap or Bajan rum used in the mix.",Smuggler's Cove; PunchDrink,{},2 oz blackstrap rum (or dark aged rum)|0.5 oz velvet falernum|0.5 oz fresh lime juice|2 dashes Angostura bitters,"1. Fill a rocks glass with crushed or cubed ice. 2. Add falernum, lime juice, and bitters. 3. Top with blackstrap rum. 4. Stir gently to chill. 5. Garnish with a lime wedge.",,,,
